Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
1.1,140.63,2024-04-16 17:00,525401348.0,1.05
1.1,140.63,2024-04-16 07:00,525401348.0,0.65
2.01,118.15,2024-04-16 20:00,563184400.0,0.85
2.01,118.15,2024-04-16 13:00,563184400.0,1.0
2.01,118.15,2024-04-16 12:00,563184400.0,1.1
2.01,118.15,2024-04-16 16:00,563184400.0,0.95
2.01,118.15,2024-04-16 10:00,563184400.0,0.25
2.01,118.15,2024-04-16 11:00,563184400.0,0.9
0.74,117.82,2024-04-16 01:00,0.0,0.23
0.79,117.82,2024-04-16 03:00,0.0,0.07
0.56,140.2,2024-04-16 19:00,0.0,1.96
0.54,140.2,2024-04-16 14:00,0.0,0.36
2.59,134.35,2024-04-17 00:00,0.0,11.74
0.38,140.3,2024-04-16 12:00,0.0,0.77
0.38,140.31,2024-04-16 17:00,0.0,0.6
0.38,140.3,2024-04-16 09:00,0.0,0.14
1.39,129.32,2024-04-16 10:00,525600181.0,19.44
2.17,129.01,2024-04-16 16:00,525600180.0,1.2
-1.98,104.91,2024-04-16 19:00,0.0,0.51
-2.07,105.02,2024-04-16 23:00,0.0,1.04
-2.05,105.0,2024-04-16 22:00,0.0,0.79
-2.09,105.14,2024-04-16 05:00,0.0,0.25
-2.23,105.07,2024-04-16 05:00,525100456.0,1.1
-3.95,110.37,2024-04-16 18:00,0.0,0.58
-3.95,110.37,2024-04-16 19:00,0.0,0.25
-5.97,106.11,2024-04-16 01:00,0.0,0.01
-7.57,105.0,2024-04-16 16:00,525501981.0,19.23
-7.75,109.0,2024-04-17 00:00,0.0,0.25
-8.64,108.87,2024-04-16 19:00,525621000.0,3.78
-8.65,108.92,2024-04-16 20:00,525621000.0,0.49
-0.28,117.59,2024-04-16 08:00,0.0,1.09
-0.28,117.6,2024-04-16 09:00,0.0,1.0
-0.27,117.58,2024-04-16 00:00,0.0,1.01
-0.31,117.67,2024-04-16 00:00,0.0,0.25
-0.31,117.65,2024-04-16 13:00,0.0,0.35
-0.29,117.64,2024-04-16 02:00,0.0,1.07
-0.29,117.61,2024-04-16 01:00,0.0,0.95
-0.31,117.65,2024-04-16 16:00,0.0,1.0
-0.31,117.66,2024-04-16 03:00,0.0,0.76
-0.31,117.65,2024-04-16 15:00,0.0,0.63
-0.31,117.65,2024-04-16 14:00,0.0,0.06
-1.28,116.95,2024-04-16 04:00,0.0,0.2
-1.3,117.01,2024-04-16 03:00,0.0,0.05
-1.33,116.97,2024-04-16 13:00,0.0,0.95
-1.33,116.97,2024-04-16 14:00,0.0,1.05
-1.33,116.97,2024-04-16 08:00,0.0,0.82
-1.33,116.97,2024-04-16 06:00,0.0,0.5
-1.34,116.98,2024-04-16 08:00,0.0,0.6
-1.33,116.96,2024-04-16 04:00,525700561.0,0.66
-1.33,116.99,2024-04-16 05:00,0.0,1.01
-1.34,116.98,2024-04-16 11:00,0.0,0.6
-1.34,116.98,2024-04-16 12:00,0.0,0.55
-0.86,117.57,2024-04-16 10:00,0.0,0.37
-0.84,117.55,2024-04-16 11:00,0.0,0.08
-0.97,117.51,2024-04-16 13:00,0.0,0.28
-4.34,115.06,2024-04-16 16:00,0.0,0.27
-3.31,116.04,2024-04-17 00:00,0.0,0.77
-3.31,116.04,2024-04-16 22:00,0.0,12.15
-3.28,116.14,2024-04-16 16:00,0.0,0.6
-3.27,116.12,2024-04-16 15:00,0.0,0.26
-4.4,115.39,2024-04-17 00:00,0.0,0.26
-2.81,122.16,2024-04-16 10:00,0.0,0.25
-2.91,122.34,2024-04-16 05:00,0.0,1.23
-6.3,113.48,2024-04-16 09:00,0.0,0.5
-6.31,113.48,2024-04-16 10:00,0.0,0.87
-6.27,113.76,2024-04-16 14:00,0.0,0.52
-7.11,112.66,2024-04-16 16:00,0.0,0.95
-7.11,112.66,2024-04-16 23:00,0.0,1.1
-7.11,112.66,2024-04-16 20:00,0.0,1.0
-7.11,112.66,2024-04-16 13:00,0.0,1.04
-7.11,112.66,2024-04-16 15:00,0.0,1.05
-7.11,112.66,2024-04-16 14:00,0.0,0.95
-7.11,112.66,2024-04-16 12:00,0.0,0.09
-6.92,116.93,2024-04-16 14:00,525201507.0,0.41
-6.92,116.93,2024-04-16 17:00,525201507.0,1.0
-6.92,116.93,2024-04-16 16:00,525201507.0,1.4
-6.92,116.93,2024-04-16 15:00,525201507.0,0.6
-10.86,113.76,2024-04-16 01:00,0.0,4.45
-10.26,115.2,2024-04-16 09:00,0.0,0.9
-10.28,115.21,2024-04-16 22:00,0.0,3.69
-10.33,115.27,2024-04-16 09:00,525700930.0,0.52
-10.33,115.27,2024-04-16 08:00,525700930.0,0.0
-10.74,113.98,2024-04-16 22:00,0.0,5.63
-10.75,113.98,2024-04-16 16:00,0.0,2.89
-10.14,116.37,2024-04-16 19:00,0.0,0.0
-11.16,122.49,2024-04-16 18:00,0.0,4.5
-2.33,132.97,2024-04-16 16:00,0.0,0.57
-2.35,132.95,2024-04-16 18:00,0.0,0.9
-2.36,132.94,2024-04-16 19:00,0.0,0.9
-2.33,132.95,2024-04-16 21:00,0.0,0.75
-4.75,133.45,2024-04-16 02:00,525600210.0,0.78
-4.8,133.56,2024-04-16 05:00,525600214.0,5.89
-4.69,133.63,2024-04-16 23:00,525600210.0,2.84
-4.82,133.62,2024-04-16 05:00,525600210.0,3.07
-8.33,131.34,2024-04-17 00:00,0.0,3.95
-6.68,133.58,2024-04-16 05:00,0.0,4.85
-6.64,133.66,2024-04-17 00:00,525500988.0,4.02
-6.75,133.63,2024-04-16 23:00,0.0,2.79
-6.73,133.64,2024-04-17 00:00,0.0,1.17
-6.76,133.62,2024-04-16 20:00,0.0,0.67
-6.76,133.79,2024-04-16 22:00,525600620.0,2.1
-7.23,133.41,2024-04-16 02:00,525611230.0,11.69
-8.15,133.37,2024-04-16 22:00,0.0,1.71
-8.19,133.4,2024-04-16 09:00,0.0,0.22
-8.19,133.49,2024-04-16 02:00,0.0,3.13
-8.19,133.5,2024-04-16 14:00,0.0,2.11
-8.29,133.5,2024-04-16 09:00,525600022.0,0.2
-8.3,133.5,2024-04-16 22:00,525600022.0,1.45
-8.27,133.48,2024-04-16 20:00,525600022.0,2.75
-8.29,133.57,2024-04-16 17:00,0.0,0.66
-8.29,133.58,2024-04-16 16:00,0.0,2.87
-8.32,133.53,2024-04-17 00:00,525600022.0,0.46
-8.33,133.56,2024-04-16 13:00,525600022.0,1.05
-8.32,133.53,2024-04-16 06:00,525600022.0,1.07
-7.74,133.6,2024-04-16 12:00,525500943.0,2.02
-8.02,134.03,2024-04-17 00:00,0.0,0.49
-8.05,134.17,2024-04-16 08:00,0.0,8.55
-8.33,133.63,2024-04-16 17:00,525600022.0,0.87
-8.33,133.62,2024-04-16 18:00,525600022.0,0.27
-8.27,133.81,2024-04-17 00:00,0.0,3.92
-11.47,113.77,2024-04-16 16:00,525800191.0,0.86
-11.47,113.77,2024-04-16 17:00,525800191.0,1.45
-11.47,113.77,2024-04-16 13:00,525800191.0,0.56
-11.48,113.77,2024-04-16 19:00,525800191.0,1.32
-11.47,113.77,2024-04-16 15:00,525800191.0,0.91
-12.51,118.34,2024-04-17 00:00,525710999.0,2.57
-12.47,118.53,2024-04-16 17:00,525710999.0,1.11
-12.48,118.64,2024-04-16 02:00,525710999.0,1.65
-13.1,118.87,2024-04-16 08:00,525700443.0,0.9
-13.1,118.94,2024-04-16 02:00,525700443.0,0.67
-13.1,119.0,2024-04-16 01:00,525700443.0,0.94
-13.09,119.03,2024-04-16 12:00,525700443.0,2.7
-13.08,119.12,2024-04-16 15:00,525700443.0,0.79
-13.07,119.16,2024-04-16 16:00,525700443.0,1.12
-13.04,119.3,2024-04-16 19:00,525700443.0,0.57
-13.05,119.27,2024-04-16 18:00,525700443.0,1.74
-11.93,122.11,2024-04-16 03:00,0.0,1.9
-11.91,122.25,2024-04-16 14:00,0.0,3.3
-12.16,122.41,2024-04-16 15:00,0.0,12.84
-12.42,122.41,2024-04-16 09:00,0.0,2.01
-12.42,122.41,2024-04-16 15:00,0.0,1.15
-12.43,122.4,2024-04-16 20:00,0.0,1.83
-12.42,122.41,2024-04-16 13:00,0.0,3.84
-12.43,122.41,2024-04-16 18:00,0.0,0.75
-12.43,122.41,2024-04-16 19:00,0.0,0.85
-12.41,122.45,2024-04-16 00:00,0.0,1.6
-12.4,122.44,2024-04-16 02:00,0.0,0.5
-5.14,136.36,2024-04-17 00:00,0.0,4.28
-5.4,136.39,2024-04-16 12:00,0.0,0.89
-5.36,136.89,2024-04-16 23:00,0.0,1.06
-5.38,137.06,2024-04-16 10:00,0.0,3.92
-5.38,137.44,2024-04-16 14:00,0.0,1.79
-5.43,137.54,2024-04-16 12:00,0.0,0.77
-5.43,137.59,2024-04-16 11:00,0.0,0.0
-5.91,135.85,2024-04-16 10:00,0.0,0.55
-5.91,135.85,2024-04-16 07:00,0.0,1.02
-5.91,135.85,2024-04-16 15:00,0.0,1.24
-5.91,135.85,2024-04-16 16:00,0.0,1.03
-5.91,135.85,2024-04-16 14:00,0.0,1.06
-5.91,135.85,2024-04-16 17:00,0.0,0.67
-5.89,135.84,2024-04-16 22:00,0.0,1.19
-6.0,135.91,2024-04-16 13:00,0.0,13.35
-6.52,135.15,2024-04-16 22:00,0.0,0.79
-6.51,135.24,2024-04-17 00:00,0.0,2.24
-6.61,136.27,2024-04-16 15:00,0.0,1.7
-6.69,136.0,2024-04-16 13:00,0.0,0.32
-6.91,136.37,2024-04-17 00:00,525700859.0,11.73
-6.04,137.71,2024-04-17 00:00,525009909.0,3.86
-6.05,137.78,2024-04-16 20:00,525009909.0,2.94
-6.24,137.56,2024-04-16 23:00,0.0,7.8
-6.29,137.6,2024-04-16 09:00,0.0,0.0
-6.29,137.6,2024-04-16 15:00,0.0,6.75
-6.66,137.78,2024-04-16 22:00,0.0,1.83
-7.19,135.32,2024-04-16 08:00,0.0,6.52
-7.36,135.75,2024-04-16 20:00,0.0,11.64
-7.34,135.79,2024-04-16 08:00,0.0,4.53
-7.37,135.81,2024-04-16 04:00,0.0,3.56
-7.96,135.09,2024-04-16 23:00,0.0,3.2
-7.97,135.23,2024-04-16 17:00,0.0,0.91
-7.91,135.21,2024-04-16 12:00,0.0,1.06
-7.96,135.21,2024-04-16 06:00,0.0,3.56
-7.97,135.26,2024-04-16 15:00,0.0,1.98
-7.98,135.26,2024-04-16 16:00,0.0,0.69
-8.38,135.75,2024-04-16 20:00,0.0,7.64
-8.34,135.74,2024-04-16 00:00,0.0,9.83
-8.4,135.88,2024-04-16 00:00,0.0,9.27
-8.35,136.61,2024-04-16 12:00,0.0,2.57
-7.82,137.62,2024-04-16 08:00,0.0,11.03
-7.91,137.52,2024-04-16 23:00,0.0,2.71
-6.06,137.81,2024-04-16 16:00,525009909.0,4.35
-8.66,135.65,2024-04-16 22:00,0.0,1.07
-9.0,135.87,2024-04-16 20:00,0.0,7.74
-9.09,136.27,2024-04-16 10:00,0.0,4.3
-8.57,136.85,2024-04-16 05:00,0.0,16.65
-9.5,137.46,2024-04-17 00:00,525700801.0,1.07
-9.59,137.49,2024-04-16 23:00,525700801.0,9.98
-9.73,137.57,2024-04-16 13:00,525700801.0,7.8
-9.49,138.25,2024-04-16 22:00,0.0,2.37
-9.45,138.27,2024-04-16 19:00,0.0,1.59
-9.79,138.2,2024-04-16 10:00,0.0,1.57
-9.68,138.46,2024-04-16 12:00,0.0,0.9
-9.64,138.46,2024-04-16 09:00,0.0,1.11
-9.7,138.52,2024-04-16 09:00,0.0,1.55
-9.46,139.62,2024-04-16 12:00,0.0,17.76
-9.59,139.9,2024-04-16 08:00,0.0,0.44
-9.59,139.9,2024-04-16 09:00,0.0,1.01
-9.58,139.92,2024-04-16 10:00,0.0,0.95
-9.39,140.28,2024-04-16 00:00,0.0,1.65
-9.47,139.96,2024-04-16 19:00,0.0,0.96
-9.47,139.96,2024-04-16 16:00,0.0,0.97
-9.47,139.96,2024-04-16 15:00,0.0,1.18
-9.47,139.96,2024-04-16 14:00,0.0,0.55
-9.96,138.23,2024-04-16 18:00,0.0,4.31
-9.88,138.47,2024-04-16 20:00,0.0,3.5
-9.95,138.44,2024-04-16 23:00,0.0,2.29
-10.07,138.21,2024-04-16 03:00,0.0,5.42
-10.01,138.65,2024-04-16 08:00,0.0,7.1
-10.0,138.62,2024-04-16 10:00,0.0,0.52
-10.02,138.62,2024-04-16 12:00,0.0,2.31
-9.99,138.62,2024-04-16 08:00,0.0,1.08
-10.07,138.86,2024-04-16 00:00,0.0,6.56
-10.06,138.95,2024-04-16 05:00,0.0,3.79
-10.05,139.1,2024-04-16 08:00,0.0,1.16
-10.21,138.65,2024-04-16 05:00,0.0,1.04
-10.26,138.69,2024-04-16 20:00,0.0,1.83
-9.86,139.48,2024-04-16 06:00,0.0,1.04
-9.84,139.51,2024-04-16 00:00,0.0,1.01
-10.06,139.42,2024-04-16 06:00,0.0,0.51
-10.27,139.48,2024-04-16 05:00,0.0,1.13
-10.27,139.51,2024-04-16 00:00,0.0,1.55
-10.29,139.51,2024-04-16 07:00,0.0,1.7
-10.41,139.54,2024-04-16 23:00,0.0,2.58
5.1,98.17,2024-04-16 04:00,525124698.0,1.05
5.09,98.17,2024-04-16 05:00,525124698.0,1.04
5.06,98.17,2024-04-16 18:00,525124698.0,0.99
5.06,98.16,2024-04-16 17:00,525124698.0,1.07
5.07,98.18,2024-04-16 04:00,525127688.0,0.84
5.05,98.2,2024-04-16 06:00,525259184.0,0.52
5.07,98.2,2024-04-16 05:00,525259184.0,1.03
5.02,98.22,2024-04-16 05:00,525128881.0,1.03
5.07,98.19,2024-04-16 03:00,525128881.0,0.8
5.03,98.21,2024-04-16 01:00,525128222.0,0.88
5.02,98.22,2024-04-16 01:00,525124698.0,1.02
4.98,98.24,2024-04-16 07:00,525127688.0,0.72
4.98,98.24,2024-04-16 06:00,525128881.0,1.02
4.95,98.25,2024-04-16 20:00,525128222.0,1.03
4.97,98.18,2024-04-16 14:00,525124698.0,1.0
4.93,98.18,2024-04-16 13:00,525124698.0,1.0
4.99,98.22,2024-04-16 20:00,525124698.0,0.95
4.95,98.25,2024-04-16 23:00,525124698.0,0.38
4.92,98.26,2024-04-16 08:00,525127688.0,1.39
4.93,98.29,2024-04-16 21:00,525127688.0,1.01
4.94,98.29,2024-04-16 22:00,525127688.0,0.58
4.93,98.27,2024-04-16 10:00,525259184.0,0.79
4.93,98.32,2024-04-16 11:00,525259184.0,1.1
4.9,98.24,2024-04-16 10:00,525124698.0,1.02
4.89,98.19,2024-04-16 12:00,525124698.0,1.02
4.87,98.21,2024-04-16 11:00,525124698.0,0.99
4.89,98.29,2024-04-16 20:00,525127688.0,1.02
4.86,98.34,2024-04-16 10:00,525128881.0,1.03
4.9,98.28,2024-04-16 08:00,525128881.0,1.34
4.87,98.28,2024-04-16 18:00,525128222.0,1.01
4.87,98.38,2024-04-16 13:00,525259184.0,0.9
4.83,98.41,2024-04-16 14:00,525259184.0,0.42
4.84,98.38,2024-04-16 11:00,525128881.0,1.09
4.82,98.31,2024-04-16 18:00,525127688.0,1.08
4.77,98.31,2024-04-16 17:00,525127688.0,0.82
4.75,98.33,2024-04-16 13:00,525127688.0,0.82
4.81,98.33,2024-04-16 11:00,525127688.0,1.03
4.8,98.41,2024-04-16 12:00,525128881.0,1.02
4.72,98.28,2024-04-16 15:00,525128222.0,1.11
4.98,98.57,2024-04-16 22:00,525259184.0,1.04
4.9,98.52,2024-04-16 18:00,525128881.0,0.88
4.85,98.54,2024-04-16 23:00,525128881.0,1.02
4.74,98.46,2024-04-16 14:00,525128881.0,0.57
3.73,99.36,2024-04-16 17:00,525131693.0,5.61
3.14,100.57,2024-04-16 04:00,533348244.0,0.77
3.01,100.79,2024-04-16 11:00,533348244.0,0.6
2.87,100.94,2024-04-17 00:00,533340372.0,0.91
2.84,100.97,2024-04-16 23:00,533348244.0,0.02
2.85,101.0,2024-04-16 23:00,100915917.0,0.79
5.93,106.58,2024-04-17 00:00,0.0,0.9
5.91,106.62,2024-04-16 19:00,0.0,0.97
4.82,106.73,2024-04-16 14:00,0.0,0.25
3.78,105.19,2024-04-16 15:00,525132198.0,0.85
4.12,105.78,2024-04-16 01:00,525132198.0,0.25
3.62,105.54,2024-04-16 13:00,0.0,0.85
3.62,105.55,2024-04-16 22:00,0.0,3.82
3.62,105.54,2024-04-16 18:00,0.0,0.8
3.57,105.57,2024-04-17 00:00,0.0,0.55
3.58,105.78,2024-04-16 17:00,0.0,1.1
3.58,105.78,2024-04-16 18:00,0.0,0.8
3.58,105.78,2024-04-16 06:00,0.0,0.07
3.64,105.89,2024-04-16 18:00,0.0,1.02
2.4,101.36,2024-04-16 15:00,0.0,1.04
2.2,101.59,2024-04-16 09:00,0.0,1.01
2.02,101.87,2024-04-16 03:00,0.0,1.01
1.45,102.14,2024-04-16 00:00,0.0,9.99
1.77,105.06,2024-04-16 11:00,0.0,0.78
1.76,105.07,2024-04-16 12:00,0.0,1.04
2.03,105.32,2024-04-16 13:00,525400635.0,2.3
1.99,105.33,2024-04-16 16:00,525400635.0,0.95
1.71,105.08,2024-04-16 15:00,0.0,1.05
1.7,105.08,2024-04-16 16:00,0.0,0.85
1.68,105.08,2024-04-16 21:00,0.0,0.34
1.55,104.92,2024-04-16 13:00,525800166.0,0.84
1.49,104.94,2024-04-16 17:00,525800166.0,0.58
1.44,105.22,2024-04-16 13:00,525482275.0,3.39
1.55,105.39,2024-04-16 09:00,0.0,1.21
1.51,105.4,2024-04-16 14:00,0.0,0.41
1.55,105.39,2024-04-16 10:00,0.0,1.0
1.47,105.41,2024-04-16 17:00,0.0,1.08
1.45,105.41,2024-04-16 18:00,0.0,1.05
1.1,104.17,2024-04-16 01:00,0.0,0.94
1.1,104.17,2024-04-16 03:00,0.0,0.55
1.1,104.17,2024-04-16 05:00,0.0,0.79
